region,date,no_dossier,evenement,adresse,municipalite,lat,lon,precision,geocode_query,url
Bas-Saint-Laurent,24 avril 2025,301820126 Catégorie : 1,"Rimouski 
				- Rejet d'eau chargée en hydrocarbures","En face du 399, rue des Chevaliers",Rimouski,48.450155,-68.529968,ville,"Rimouski, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301820126
Bas-Saint-Laurent,9 février 2026,301873574 Catégorie : 1,"La Trinité-des-Monts 
				- Incendie d'un véhicule",88 route principale Ouest,La Trinité-des-Monts,48.128518,-68.472977,ville,"La Trinité-des-Monts, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301873574
Bas-Saint-Laurent,26 août 2024,301773439 Catégorie : 1,"Saint-Elzéar-de-Témiscouata 
				- Déversement de matières dangereuses",Entre le 222 et 308 chemin Principal,Saint-Elzéar-de-Témiscouata,47.592736,-69.096451,ville,"Saint-Elzéar-de-Témiscouata, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301773439
Bas-Saint-Laurent,26 septembre 2025,301851532 Catégorie : 1,"Mont-Joli 
				- Émission de gaz","1086, rue Industrielle",Mont-Joli,48.589433,-68.21121,adresse,"1086, rue Industrielle, Mont-Joli, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301851532
Bas-Saint-Laurent,29 septembre 2025,301851970 Catégorie : 1,"Rivière-du-Loup 
				- Déversement de produits pétroliers","Au sud-ouest de l'intersection de l'Autoroute 85 et du boulevard Industriel (47.79804, -69.51070)",Rivière-du-Loup,47.854123,-69.533302,ville,"Rivière-du-Loup, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301851970
Bas-Saint-Laurent,12 juin 2025,301830831 Catégorie : 1,"Rivière-du-Loup 
				- Déversement de produits pétroliers","98, rue des Équipements",Rivière-du-Loup,47.834514,-69.50862,adresse,"98, rue des Équipements, Rivière-du-Loup, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301830831
Bas-Saint-Laurent,22 juillet 2025,301852950 Catégorie : 1,"Saint-Marcellin 
				- Bateau coulé","Devant le 163, chemin du Lac Noir Nord, dans le Lac Noir",Saint-Marcellin,48.3348,-68.293076,ville,"Saint-Marcellin, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301852950
Bas-Saint-Laurent,24 avril 2025,301820128 Catégorie : 1,"Rimouski 
				- Déversement d'eaux contaminées",Rue des Chevaliers,Rimouski,48.4593,-68.507994,adresse,"Rue des Chevaliers, Rimouski, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301820128
Bas-Saint-Laurent,21 février 2026,301875715 Catégorie : 1,"Rimouski 
				- Déversement de produits pétroliers","200, Montée Industrielle-et-Commerciale",Rimouski,48.463396,-68.504366,adresse,"200, Montée Industrielle-et-Commerciale, Rimouski, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301875715
Bas-Saint-Laurent,12 janvier 2026,301868179 Catégorie : 1,"Saint-Alexandre-de-Kamouraska 
				- Déraillement de train",Intersection de la route 289 et la voie ferrée,Saint-Alexandre-de-Kamouraska,47.683239,-69.623972,ville,"Saint-Alexandre-de-Kamouraska, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301868179
Bas-Saint-Laurent,26 avril 2024,301747358 Catégorie : 1,"Sainte-Irène 
				- Déversement de produits pétroliers","73, rue des Cèdres",Sainte-Irène,48.415105,-67.578558,adresse,"73, rue des Cèdres, Sainte-Irène, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301747358
Bas-Saint-Laurent,22 avril 2024,301744042 Catégorie : 1,"Rimouski 
				- Déversement de produits pétroliers","835, chemin Victor-Gauvin",Rimouski,48.404665,-68.578118,adresse,"835, chemin Victor-Gauvin, Rimouski, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301744042
Bas-Saint-Laurent,2 avril 2024,301739315 Catégorie : 1,"Rimouski 
				- Déversement de produits pétroliers","358, Rue de la Carrière",Rimouski,48.430027,-68.557707,adresse,"358, Rue de la Carrière, Rimouski, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301739315
Bas-Saint-Laurent,29 mars 2024,301738814 Catégorie : 1,"Matane 
				- Incendie impliquant des matières dangereuses","1600, rue de Matane-sur-Mer",Matane,48.836537,-67.573819,adresse,"1600, rue de Matane-sur-Mer, Matane, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301738814
Bas-Saint-Laurent,15 août 2023,301698036 Catégorie : 1,"Rimouski 
				- Déversement de produits pétroliers",Pont de la route 132 traversant la rivière Rimouski,Rimouski,48.450155,-68.529968,ville,"Rimouski, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301698036
Bas-Saint-Laurent,17 août 2023,301698371 Catégorie : 1,"Sayabec 
				- Incendie suite à une explosion","152, route Pouliot",Sayabec,48.552178,-67.651775,adresse,"152, route Pouliot, Sayabec, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301698371
Bas-Saint-Laurent,14 juin 2023,301683586 Catégorie : 1,"Dégelis 
				- Déversement de produits pétroliers","334, avenue Principale",Dégelis,47.548049,-68.649246,adresse,"334, avenue Principale, Dégelis, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301683586
Bas-Saint-Laurent,17 novembre 2023,301713927 Catégorie : 1,"Témiscouata-sur-le-Lac 
				- Déversement de produits pétroliers","520, rue Commerciale Nord",Témiscouata-sur-le-Lac,47.652312,-68.845269,adresse,"520, rue Commerciale Nord, Témiscouata-sur-le-Lac, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301713927
Bas-Saint-Laurent,16 décembre 2023,301718856 Catégorie : 1,"Saint-Philippe-de-Néri 
				- Accident ferroviaire","Voie ferrée située près du 225, route 230",Saint-Philippe-de-Néri,47.468486,-69.88472,ville,"Saint-Philippe-de-Néri, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301718856
Bas-Saint-Laurent,25 mars 2024,301738151 Catégorie : 1,"Rivière-du-Loup 
				- Incendie d'une centrale hydroélectrique","1, rue de l'Hôtel-de-Ville",Rivière-du-Loup,47.839794,-69.53162,adresse,"1, rue de l'Hôtel-de-Ville, Rivière-du-Loup, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301738151
Bas-Saint-Laurent,12 juin 2023,301682544 Catégorie : 1,"Les Hauteurs 
				- Déversement de pesticides",2e et 3e rang Ouest,Les Hauteurs,48.341378,-68.163674,adresse,"2e et 3e rang Ouest, Les Hauteurs, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301682544
Bas-Saint-Laurent,1 juin 2023,301688626 Catégorie : 1,"Saint-Juste-du-Lac 
				- Signalement d'hydrocarbures","251, chemin du Lac",Saint-Juste-du-Lac,47.622455,-68.772208,adresse,"251, chemin du Lac, Saint-Juste-du-Lac, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301688626
Bas-Saint-Laurent,4 mai 2023,301673776 Catégorie : 1,"Rimouski 
				- Déversement de produits pétroliers",81 Rue Clémence-Desrochers. Égout pluvial et bassin de rétention à proximité (Rue Claude Léveillé),Rimouski,48.450155,-68.529968,ville,"Rimouski, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301673776
Bas-Saint-Laurent,20 avril 2023,301670750 Catégorie : 1,"Rimouski 
				- Déversement de matières liquides",Intersection Avenue de la Cathédrale et Blvd. René Lepage E.,Rimouski,48.450155,-68.529968,ville,"Rimouski, Québec, Canada",https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301670750
