region,date,no_dossier,evenement,adresse,municipalite,lat,lon,url
Bas-Saint-Laurent,24 avril 2025,301820126 Catégorie : 1,"Rimouski 
				- Rejet d'eau chargée en hydrocarbures","En face du 399, rue des Chevaliers",Rimouski,48.459849,-68.505751,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301820126
Bas-Saint-Laurent,9 février 2026,301873574 Catégorie : 1,"La Trinité-des-Monts 
				- Incendie d'un véhicule",88 route principale Ouest,La Trinité-des-Monts,48.117381,-68.486118,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301873574
Bas-Saint-Laurent,26 août 2024,301773439 Catégorie : 1,"Saint-Elzéar-de-Témiscouata 
				- Déversement de matières dangereuses",Entre le 222 et 308 chemin Principal,Saint-Elzéar-de-Témiscouata,47.591564,-69.096699,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301773439
Bas-Saint-Laurent,26 septembre 2025,301851532 Catégorie : 1,"Mont-Joli 
				- Émission de gaz","1086, rue Industrielle",Mont-Joli,48.58879,-68.211251,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301851532
Bas-Saint-Laurent,29 septembre 2025,301851970 Catégorie : 1,"Rivière-du-Loup 
				- Déversement de produits pétroliers","Au sud-ouest de l'intersection de l'Autoroute 85 et du boulevard Industriel (47.79804, -69.51070)",Rivière-du-Loup,47.813164,-69.52829,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301851970
Bas-Saint-Laurent,12 juin 2025,301830831 Catégorie : 1,"Rivière-du-Loup 
				- Déversement de produits pétroliers","98, rue des Équipements",Rivière-du-Loup,47.834813,-69.508627,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301830831
Bas-Saint-Laurent,22 juillet 2025,301852950 Catégorie : 1,"Saint-Marcellin 
				- Bateau coulé","Devant le 163, chemin du Lac Noir Nord, dans le Lac Noir",Saint-Marcellin,48.365757,-68.296642,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301852950
Bas-Saint-Laurent,24 avril 2025,301820128 Catégorie : 1,"Rimouski 
				- Déversement d'eaux contaminées",Rue des Chevaliers,Rimouski,48.459333,-68.507992,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301820128
Bas-Saint-Laurent,21 février 2026,301875715 Catégorie : 1,"Rimouski 
				- Déversement de produits pétroliers","200, Montée Industrielle-et-Commerciale",Rimouski,48.463405,-68.504405,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301875715
Bas-Saint-Laurent,12 janvier 2026,301868179 Catégorie : 1,"Saint-Alexandre-de-Kamouraska 
				- Déraillement de train",Intersection de la route 289 et la voie ferrée,Saint-Alexandre-de-Kamouraska,47.681252,-69.621733,https://www.environnement.gouv.qc.ca/ministere/urgence_environnement/urgence.asp?dossier=301868179
